text	size
Climate Change	550
Flooding	292
Drought	70
Temperature	100
Carbon Dioxide	465
Green	221
Global Warming	346
Green House Gases	62
Pollution	478
Carbon Footprint	24
Sustainability	113
Weather	190
Fossil Fuel	121
BioFuel	213
Environment	430
Recycle	492
Renewable Energy	333
Extinction	108
Methane	76
BioDiversty	139
Sea Level	89
Endangered	301
Wild Fire	463
Coal	323
Ice Caps	255
Glaciers	373
Earth	168
Future	437
Ozone	352
Solar Energy	415
Media	479
Global	399
Sky	178
Dry	293
Disaster	75
Artic	364
Future	193
Desert	69
Dire	306
Ecology	332
Winter	476
Explosion	258
Flood	151
Descruction	340
Natural	228
Blue	447
Outdoor	234
life	41
Polar	26
Landscape	364
Greed	497
Sea	261
Wildlife	94
Horizon	450
