text,size
Climate Change,1540
Flooding,670
Drought,3718
Temperature,3336
Carbon Dioxide,3842
Green,4820
Global Warming,4031
Green House Gases,4016
Pollution,3953
Carbon Footprint,3667
Sustainability,4016
Weather,3871
Fossil Fuel,3404
BioFuel,3976
Environment,4354
Recycle,4200
Renewable Energy,4276
Extinction,1419
Methane,3776
BioDiversty,3674
Sea Level,4413
Endangered,3080
Wild Fire,2973
Coal,4299
Ice Caps,2511
Glaciers,4606
Earth,3412
Future,3943
Ozone,3782
Solar Energy,4207
Media,4189
Global,4803
Sky,4460
Dry,4682
Disaster,3448
Artic,3115
Desert,4696
Dire,4812
Ecology,4079
Winter,2198
Explosion,241
Climate Change Players!,1727
Descruction,2800
Natural,4947
Blue,4658
Outdoor,4140
life,4722
Polar,3308
Landscape,3989
Greed,4387
Sea,3987
Wildlife,4643
Horizon,4393
Waste,4686
